adm3_pcode,adm3_en,ref_region,ref_zone,indicator,group,label,value_type,period,num_sum,denom_sum,n_records,value_pct,value_pct_capped
ET010103,Zana,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010103,Zana,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010103,Zana,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk03-15,0,4,1,0,0
ET010103,Zana,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010103,Zana,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010103,Zana,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk03-15,3,3,1,100,100
ET010103,Zana,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk03-15,3,4,1,75,75
ET010104,Tahtay Koraro,Tigray,North Western,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk03-15,7,14,1,50,50
ET010104,Tahtay Koraro,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk03-15,0,5,1,0,0
ET010104,Tahtay Koraro,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk03-15,4,5,1,80,80
ET010104,Tahtay Koraro,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,2025-Wk03-15,4,5,1,80,80
ET010104,Tahtay Koraro,Tigray,North Western,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk03-15,0,5,1,0,0
ET010104,Tahtay Koraro,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010104,Tahtay Koraro,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk03-15,5,5,1,100,100
ET010104,Tahtay Koraro,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk03-15,5,5,1,100,100
ET010105,Asgede,Tigray,North Western,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk03-15,138,216,1,63.888888888888886,63.888888888888886
ET010105,Asgede,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk03-15,4,118,1,0.03389830508474576,0.03389830508474576
ET010105,Asgede,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk03-15,0,4,1,0,0
ET010105,Asgede,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk03-15,0,1,1,0,0
ET010105,Asgede,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk03-15,2,4,1,50,50
ET010105,Asgede,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk03-15,0,1,1,0,0
ET010105,Asgede,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,2025-Wk03-15,3,4,1,75,75
ET010105,Asgede,Tigray,North Western,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk03-15,1,4,1,25,25
ET010105,Asgede,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk03-15,0,4,1,0,0
ET010105,Asgede,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010105,Asgede,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk03-15,3,3,1,100,100
